council,region,tribunal,year,pcns_issued,appeals_received,appeals_decided,allowed_pct,not_contested_pct,source,page
Gosport Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/gosport-borough-council
Gravesham Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/gravesham-borough-council
Great Yarmouth Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/great-yarmouth-borough-council
Guildford Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/guildford-borough-council
Gwynedd Council,Wales,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/gwynedd-council
Halton Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/halton-borough-council
Hampshire County Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/hampshire-county-council
Hampshire County Council (with Basingstoke Borough Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/hampshire-county-council-with-basingstoke-borough-council
Hampshire County Council (with Hart District Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/hampshire-county-council-with-hart-district-council
Hampshire County Council (with Havant Borough Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/hampshire-county-council-with-havant-borough-council
Hampshire County Council (with Rushmoor Borough Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/hampshire-county-council-with-rushmoor-borough-council
Hampshire County Council (with Winchester County Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/hampshire-county-council-with-winchester-county-council
Harborough District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/harborough-district-council
Harlow District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/harlow-district-council
Hart District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/hart-district-council
Hartlepool Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/hartlepool-borough-council
Hastings Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/hastings-borough-council
Havant Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/havant-borough-council
Herefordshire Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/herefordshire-council
Hertfordshire County Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/hertfordshire-county-council
Hertsmere Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/hertsmere-borough-council
High Peak Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/high-peak-borough-council
Hinckley and Bosworth Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/hinckley-and-bosworth-borough-council
Horsham District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/horsham-district-council
Huntingdonshire District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/huntingdonshire-district-council
Hyndburn Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/hyndburn-borough-council
Ipswich Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/ipswich-borough-council
Isle of Anglesey County Council,Wales,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/isle-of-anglesey-county-council
Isle of Wight Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/isle-of-wight-council
Kent County Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/kent-county-council
Kent County Council (with Dartford Borough Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/kent-county-council-with-dartford-borough-council
Kent County Council (with Dover District Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/kent-county-council-with-dover-district-council
Kent County Council (with Sevenoaks District Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/kent-county-council-with-sevenoaks-district-council
Kent County Council (with Swale Borough Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/kent-county-council-with-swale-borough-council
Kent County Council (with Thanet District Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/kent-county-council-with-thanet-district-council
Kent County Council (with Tonbridge and Malling Borough Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/kent-county-council-with-tonbridge-and-malling-borough-council
Kent County Council (with Tunbridge Wells Borough Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/kent-county-council-with-tunbridge-wells-borough-council
Kingston upon Hull City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/kingston-upon-hull-city-council
Kirklees Metropolitan Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/kirklees-metropolitan-council
Knowsley Metropolitan Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/knowsley-metropolitan-borough-council
Lancashire County Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/lancashire-county-council
Lancaster City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/lancaster-city-council
Leeds City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/leeds-city-council
Leicester City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/leicester-city-council
Leicester City Council (Bus Lanes - LG),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/leicester-city-council-bus-lanes-lg
Leicestershire County Council (with Blaby District Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/leicestershire-county-council-with-blaby-district-council
Leicestershire County Council (with Harborough District Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/leicestershire-county-council-with-harborough-district-council
Leicestershire County Council (with Hinckley and Bosworth District Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/leicestershire-county-council-with-hinckley-and-bosworth-district-council
Leicestershire County Council (with North West Leicestershire District Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/leicestershire-county-council-with-north-west-leicestershire-district-council
Leicestershire County Council (with Oadby and Wigston Borough Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/leicestershire-county-council-with-oadby-and-wigston-borough-council
Lichfield District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/lichfield-district-council
Lincolnshire County Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/lincolnshire-county-council
Liverpool City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/liverpool-city-council
Luton Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/luton-borough-council
Maidstone Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/maidstone-borough-council
Maldon District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/maldon-district-council
Malvern Hills District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/malvern-hills-district-council
Manchester City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/manchester-city-council
Mansfield District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/mansfield-district-council
Medway Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/medway-council
Melton Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/melton-borough-council
Merthyr Tydfil County Borough Council,Wales,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/merthyr-tydfil-county-borough-council
Metropolitan Borough of Wirral,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/metropolitan-borough-of-wirral
Mid Devon District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/mid-devon-district-council
Mid Suffolk District Council (with Ipswich Borough Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/mid-suffolk-district-council-with-ipswich-borough-council
Mid Suffolk District Council (with West Suffolk Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/mid-suffolk-district-council-with-west-suffolk-council
Mid Sussex District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/mid-sussex-district-council
Middlesbrough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/middlesbrough-council
Milton Keynes City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/milton-keynes-city-council
Mole Valley District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/mole-valley-district-council
Monmouthshire County Council,Wales,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/monmouthshire-county-council
Neath Port Talbot County Borough Council,Wales,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/neath-port-talbot-county-borough-council
New Forest District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/new-forest-district-council
Newark and Sherwood District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/newark-and-sherwood-district-council
Newcastle City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/newcastle-city-council
Newcastle Under Lyme Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/newcastle-under-lyme-borough-council
Newport City Council,Wales,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/newport-city-council
Norfolk County Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/norfolk-county-council
North Devon District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/north-devon-district-council
North East Derbyshire District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/north-east-derbyshire-district-council
North East Lincolnshire Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/north-east-lincolnshire-council
North Essex Parking Partnership,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/north-essex-parking-partnership
North Gloucestershire Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/north-gloucestershire-borough-council
North Hertfordshire District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/north-hertfordshire-district-council
North Kesteven District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/north-kesteven-district-council
North Lincolnshire Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/north-lincolnshire-council
North Norfolk District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/north-norfolk-district-council
North Northamptonshire Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/north-northamptonshire-council
North Somerset Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/north-somerset-council
North Tyneside Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/north-tyneside-council
North Warwickshire Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/north-warwickshire-borough-council
North West Leicestershire District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/north-west-leicestershire-district-council
North Yorkshire Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/north-yorkshire-council
Northumberland County Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/northumberland-county-council
Norwich City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/norwich-city-council
Nottingham City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/nottingham-city-council
Nottinghamshire County Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/nottinghamshire-county-council
Nuneaton and Bedworth Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/nuneaton-and-bedworth-borough-council
Oadby and Wigston Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/oadby-and-wigston-borough-council
Oldham Metropolitan Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/oldham-metropolitan-borough-council
Oxfordshire County Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/oxfordshire-county-council
Oxfordshire County Council (with Cherwell District Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/oxfordshire-county-council-with-cherwell-district-council
Oxfordshire County Council (with West Oxfordshire DC),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/oxfordshire-county-council-with-west-oxfordshire-dc
Pembrokeshire County Council,Wales,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/pembrokeshire-county-council
Pendle Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/pendle-borough-council
Peterborough City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/peterborough-city-council
Plymouth City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/plymouth-city-council
Portsmouth City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/portsmouth-city-council
Powys County Council,Wales,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/powys-county-council
Preston City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/preston-city-council
Reading Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/reading-borough-council
Redcar and Cleveland Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/redcar-and-cleveland-borough-council
Redditch Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/redditch-borough-council
Reigate and Banstead Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/reigate-and-banstead-borough-council
Rhondda Cynon Taf County Borough Council,Wales,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/rhondda-cynon-taf-county-borough-council
Ribble Valley Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/ribble-valley-borough-council
Rochdale Metropolitan Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/rochdale-metropolitan-borough-council
Rochford District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/rochford-district-council
Rotherham Metropolitan Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/rotherham-metropolitan-borough-council
Royal Borough of Windsor and Maidenhead,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/royal-borough-of-windsor-and-maidenhead
Rugby Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/rugby-borough-council
Runnymede Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/runnymede-borough-council
Rushcliffe Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/rushcliffe-borough-council
Rushmoor Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/rushmoor-borough-council
Rutland County Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/rutland-county-council
Salford City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/salford-city-council
Sandwell Metropolitan Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/sandwell-metropolitan-borough-council
Sefton Metropolitan Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/sefton-metropolitan-borough-council
Sevenoaks District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/sevenoaks-district-council
Sheffield City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/sheffield-city-council
Shropshire Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/shropshire-council
Slough Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/slough-borough-council
Solihull Metropolitan Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/solihull-metropolitan-borough-council
Somerset Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/somerset-council
South Derbyshire District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/south-derbyshire-district-council
