slug,name,kind,regime,nation,appeal_body,appeal_url,official_policy_url,amount_note,deadline_note,stages_note,instrument_note,source,page
blackpool-tramway,Blackpool Tramway,tram,none,england,not published,not published,https://www.blackpooltransport.com/conditions-of-carriage,,,,,"Blackpool Transport, conditions of carriage",https://www.catoappeals.com/penalty-fares/blackpool-tramway
edinburgh-trams,Edinburgh Trams,tram,none,scotland,not published,not published,https://edinburghtrams.com/conditions-carriage,,,,,"Edinburgh Trams, conditions of carriage",https://www.catoappeals.com/penalty-fares/edinburgh-trams
glasgow-subway,Glasgow Subway,tram,none,scotland,not published,not published,https://www.spt.co.uk/about-us/who-we-are/our-services/glasgow-subway-byelaws/,,,,,"SPT, Glasgow Subway byelaws",https://www.catoappeals.com/penalty-fares/glasgow-subway
avanti-west-coast,Avanti West Coast,toc,ufn,england,not published,not published,https://www.avantiwestcoast.co.uk/about-us/policies-and-procedures/revenue-protection,,,,,"Avanti West Coast, ""Revenue protection""; Appeal Service (ITAL Group Ltd)",https://www.catoappeals.com/penalty-fares/avanti-west-coast
lner,LNER,toc,ufn,england,not published,not published,https://www.lner.co.uk/support/revenue-protection-policy/,,,,,"LNER, ""Revenue protection policy"" (live host bot-walled; archived copy of 1 July 2026)",https://www.catoappeals.com/penalty-fares/lner
lumo,Lumo,toc,ufn,england,not published,not published,https://www.lumo.co.uk/help/revenue-protection-policy,,,,,"Lumo, ""Revenue protection policy""",https://www.catoappeals.com/penalty-fares/lumo
crosscountry,CrossCountry,toc,ufn,england,not published,not published,https://www.crosscountrytrains.co.uk/help-support/contact-us/ticketless-travel,,,,,"CrossCountry, ""Ticketless travel""",https://www.catoappeals.com/penalty-fares/crosscountry
hull-trains,Hull Trains,toc,none,england,not published,not published,https://www.hulltrains.co.uk/support-and-contact/faqs,,,,,"Hull Trains, FAQs",https://www.catoappeals.com/penalty-fares/hull-trains
grand-central,Grand Central,toc,none,england,not published,not published,https://www.grandcentralrail.com/tickets/train-fares-policy,,,,,"Grand Central, ""Train fares policy""",https://www.catoappeals.com/penalty-fares/grand-central
heathrow-express,Heathrow Express,toc,none,england,not published,not published,https://www.heathrowexpress.com/docs/heathrow-express-conditions-of-carriage-july-2026.pdf,,,,,"Heathrow Express, conditions of carriage (July 2026)",https://www.catoappeals.com/penalty-fares/heathrow-express
caledonian-sleeper,Caledonian Sleeper,toc,none,scotland,not published,not published,https://www.sleeper.scot/auxiliary/terms-and-conditions/,,,,,"Caledonian Sleeper, terms and conditions; The Railways (Penalty Fares) Regulations 2018 (SI 2018/366)",https://www.catoappeals.com/penalty-fares/caledonian-sleeper
scotrail,ScotRail,toc,none,scotland,not published,not published,https://www.scotrail.co.uk/about-scotrail/our-rules-travel/revenue-protection-policy,,,,,"ScotRail, ""Revenue protection policy""; The Railways (Penalty Fares) Regulations 2018 (SI 2018/366)",https://www.catoappeals.com/penalty-fares/scotrail
